-61;-61,-8;-61,12;-61,112;*
-15;-61,-8;-61,12;-61,112;*
-12;-61,-8;-61,12;-61,112;*
-11;-61,-8;-61,12;-61,112;*
-8;-61,-8;-61,12;-61,112;*
-7;-7,-3;-61,12;-61,112;*
-6;-7,-3;-61,12;-61,112;*
-5;-7,-3;-61,12;-61,112;*
-4;-7,-3;-61,12;-61,112;*
-3;-7,-3;-61,12;-61,112;*
-2;-2,2;-61,12;-61,112;*
-1;-2,2;-61,12;-61,112;*
0;-2,2;-61,12;-61,112;*
1;-2,2;-61,12;-61,112;*
2;-2,2;-61,12;-61,112;*
3;3,7;-61,12;-61,112;*
4;3,7;-61,12;-61,112;*
5;3,7;-61,12;-61,112;*
6;3,7;-61,12;-61,112;*
7;3,7;-61,12;-61,112;*
8;8,12;-61,12;-61,112;*
9;8,12;-61,12;-61,112;*
10;8,12;-61,12;-61,112;*
11;8,12;-61,12;-61,112;*
12;8,12;-61,12;-61,112;*
13;13,17;13,37;-61,112;*
14;13,17;13,37;-61,112;*
15;13,17;13,37;-61,112;*
16;13,17;13,37;-61,112;*
17;13,17;13,37;-61,112;*
18;18,22;13,37;-61,112;*
19;18,22;13,37;-61,112;*
20;18,22;13,37;-61,112;*
21;18,22;13,37;-61,112;*
22;18,22;13,37;-61,112;*
23;23,27;13,37;-61,112;*
24;23,27;13,37;-61,112;*
25;23,27;13,37;-61,112;*
26;23,27;13,37;-61,112;*
27;23,27;13,37;-61,112;*
28;28,32;13,37;-61,112;*
29;28,32;13,37;-61,112;*
30;28,32;13,37;-61,112;*
31;28,32;13,37;-61,112;*
32;28,32;13,37;-61,112;*
33;33,37;13,37;-61,112;*
34;33,37;13,37;-61,112;*
35;33,37;13,37;-61,112;*
36;33,37;13,37;-61,112;*
37;33,37;13,37;-61,112;*
38;38,42;38,62;-61,112;*
39;38,42;38,62;-61,112;*
40;38,42;38,62;-61,112;*
41;38,42;38,62;-61,112;*
42;38,42;38,62;-61,112;*
43;43,47;38,62;-61,112;*
44;43,47;38,62;-61,112;*
45;43,47;38,62;-61,112;*
46;43,47;38,62;-61,112;*
47;43,47;38,62;-61,112;*
48;48,52;38,62;-61,112;*
49;48,52;38,62;-61,112;*
50;48,52;38,62;-61,112;*
51;48,52;38,62;-61,112;*
52;48,52;38,62;-61,112;*
53;53,57;38,62;-61,112;*
54;53,57;38,62;-61,112;*
55;53,57;38,62;-61,112;*
56;53,57;38,62;-61,112;*
57;53,57;38,62;-61,112;*
58;58,62;38,62;-61,112;*
59;58,62;38,62;-61,112;*
60;58,62;38,62;-61,112;*
61;58,62;38,62;-61,112;*
62;58,62;38,62;-61,112;*
63;63,67;63,87;-61,112;*
64;63,67;63,87;-61,112;*
65;63,67;63,87;-61,112;*
66;63,67;63,87;-61,112;*
